都道府県コード又は市区町村コード,No,都道府県名,市区町村名,名称,住所,経度,緯度,車椅子使用者トイレ有無,乳幼児用設備設置トイレ有無,オストメイトトイレ設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,施設種類
"132,098",1,東京都,町田市,ローソン町田成瀬街道店,成瀬6-6-14,139.48026,35.538163,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",2,東京都,町田市,株式会社村山工業所,西成瀬1-49-23,139.4641479,35.54331389,無,,無,8:00,19:00,日曜日定休日,公共トイレ協力店
"132,098",3,東京都,町田市,能ヶ谷神社,能ヶ谷6-20-1,139.482714,35.588371,無,,無,0:00,23:59,,トイレ開放協力寺社
"132,098",4,東京都,町田市,セブン-イレブン原町田３丁目店,原町田3-3-28,139.4500607,35.54128891,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",5,東京都,町田市,ファミリーマート秀栄町田小川店,小川5-10-20,139.469483,35.523032,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",6,東京都,町田市,カインズホーム町田多摩境店,小山ヶ丘3-6-6,139.374897,35.601385,有,,無,9:00,20:30,1月1日定休日,公共トイレ協力店
"132,098",7,東京都,町田市,トイザらス・ベビーザらス町田多摩境店,小山ヶ丘1-7-2,139.381619,35.598585,有,,無,10:00,20:00,,公共トイレ協力店
"132,098",8,東京都,町田市,ローソン町田根岸町店,根岸町1009-8,139.407004,35.579207,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",9,東京都,町田市,ローソン町田図師町店,図師町612-1,139.417207,35.581201,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",10,東京都,町田市,ローソン小山田桜台店,下小山田町3352-5,139.4075309,35.58942513,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",11,東京都,町田市,ローソン町田木曽東三丁目店,木曽東3-33-1,139.425953,35.563818,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",12,東京都,町田市,セブンｰイレブン町田野津田町店,野津田町37-1,139.433426,35.585145,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",13,東京都,町田市,ファミリーマート秀栄相原町店,相原町3621-1,139.298898,35.609801,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",14,東京都,町田市,ローソン町田法政大学前店,相原町4303-3,139.295936,35.610937,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",15,東京都,町田市,ファミリーマート町田多摩境店,小山ヶ丘5-1-4,139.364987,35.602798,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",16,東京都,町田市,祐照庵(大戸観音堂）,相原町4643,139.2889279,35.61349811,無,,無,0:00,23:59,,トイレ開放協力寺社
"132,098",17,東京都,町田市,セブン-イレブン法政大学多摩キャンパス店,相原町4342-13,139.2965142,35.61387031,有,,無,7:00,21:00,,公共トイレ協力店
"132,098",18,東京都,町田市,セブン-イレブン町田相原店,相原町2177-1,139.3171764,35.60611695,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",19,東京都,町田市,ローソン＋スリーエフ町田相原駅前店,相原町1158-4,139.33193,35.60651811,無,,無,0:00,23:59,,公共トイレ協力店
"132,098",20,東京都,町田市,セブン-イレブン町田小山ヶ丘４丁目店,小山ヶ丘4-9-2,139.3523935,35.60689959,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",21,東京都,町田市,セブン-イレブン町田堺店,小山町828-1,139.3810358,35.59224731,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",22,東京都,町田市,セブン-イレブン町田常盤店,常盤町3163-4,139.3933311,35.5864954,有,,無,0:00,23:59,,公共トイレ協力店
"132,098",23,東京都,町田市,セブン-イレブン町田忠生公園入口店,木曽西3-25-5,139.4199914,35.5722343,有,,無,0:00,23:59,,公共トイレ協力店
